companyName,city,country,since
Tech Corp,New York,USA,2019-03-01T10:00:00.000+0100
Data Solutions Inc,San Francisco,USA,2020-07-15T14:30:15.500+0100
Innovation LLC,San Francisco,USA,2021-01-01T09:15:30.250+0100
MedTech Systems,London,UK,2018-06-01T11:45:22.100+0100
EduLearn Platform,New York,USA,2019-09-15T16:20:45.750+0100
FinanceFirst Bank,New York,USA,2017-04-01T13:30:00.000+0100
ManufacturingPro,Berlin,Germany,2018-11-01T12:15:35.400+0100
HealthCare Plus,London,UK,2020-02-15T15:45:50.600+0100
EduTech Innovations,Toronto,Canada,2021-03-01T08:30:25.300+0100
Investment Partners,New York,USA,2020-08-15T17:10:40.800+0100
